Protocol,Host_Advanced,Host_DefaultAlias,Host_alias,Host_Address,Host_Port,Host_Inbox,Host_Outbox,Host_Sentbox,Host_Receivedbox,Mailbox_alias,Mailbox_Username,Mailbox_Password,Mailbox_Usesigncert,Mailbox_Useencrcert,Mailbox_Overridelistenercerts,Mailbox_localsigncertpassword,Mailbox_localsigncertalias,Mailbox_localencrcertalias,Mailbox_localencrcertpassword,MailboxH_AS2-From,MailboxH_AS2-To,MailboxH_Subject,MailboxH_[Content-Type],Action_alias,Action_Commands,MailboxH_Content-Type,Mailbox_Encryptedrequest,Mailbox_Receiptdesired,Mailbox_Signedrequest,Mailbox_Encryptionmethod,Cert_ImportUserAlias,Cert_ImportPrivateKeyPwd,Cert_ImportLocation,LocalListener_localsigncertpassword,LocalListener_Httpport,LocalListener_localsigncertpassword
AS2,RESTEnabled=false,Generic AS2,AS2TP01,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP01,,,TRUE,TRUE,TRUE,cleo,TEST1,TEST1,cleo,AS2TP01,AS2H001,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,4,TEST1,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=true,Generic AS2,AS2TP02,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP02,,,TRUE,TRUE,TRUE,cleo,TEST2,TEST2,cleo,AS2TP02,AS2H002,TETPMessage,Binary,send,PUT * ,Binary,FALSE,FALSE,FALSE,3,TEST2,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP03,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP03,,,TRUE,TRUE,TRUE,cleo,TEST3,TEST3,cleo,AS2TP03,AS2H003,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST3,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP04,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP04,,,TRUE,TRUE,TRUE,cleo,TEST4,TEST4,cleo,AS2TP04,AS2H004,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST4,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP05,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP05,,,TRUE,TRUE,TRUE,cleo,TEST5,TEST5,cleo,AS2TP05,AS2H005,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST5,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP06,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP06,,,TRUE,TRUE,TRUE,cleo,TEST6,TEST6,cleo,AS2TP06,AS2H006,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST6,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP07,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP07,,,TRUE,TRUE,TRUE,cleo,TEST7,TEST7,cleo,AS2TP07,AS2H007,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST7,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP08,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP08,,,TRUE,TRUE,TRUE,cleo,TEST8,TEST8,cleo,AS2TP08,AS2H008,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST8,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP09,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP09,,,TRUE,TRUE,TRUE,cleo,TEST9,TEST9,cleo,AS2TP09,AS2H009,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST9,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP10,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP10,,,TRUE,TRUE,TRUE,cleo,TEST10,TEST10,cleo,AS2TP10,AS2H010,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST10,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP11,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP11,,,TRUE,TRUE,TRUE,cleo,TEST11,TEST11,cleo,AS2TP11,AS2H011,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST11,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP12,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP12,,,TRUE,TRUE,TRUE,cleo,TEST12,TEST12,cleo,AS2TP12,AS2H012,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST12,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP13,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP13,,,TRUE,TRUE,TRUE,cleo,TEST13,TEST13,cleo,AS2TP13,AS2H013,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST13,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP14,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP14,,,TRUE,TRUE,TRUE,cleo,TEST14,TEST14,cleo,AS2TP14,AS2H014,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST14,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP15,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP15,,,TRUE,TRUE,TRUE,cleo,TEST15,TEST15,cleo,AS2TP15,AS2H015,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST15,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP16,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP16,,,TRUE,TRUE,TRUE,cleo,TEST16,TEST16,cleo,AS2TP16,AS2H016,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST16,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP17,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP17,,,TRUE,TRUE,TRUE,cleo,TEST17,TEST17,cleo,AS2TP17,AS2H017,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST17,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP18,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP18,,,TRUE,TRUE,TRUE,cleo,TEST18,TEST18,cleo,AS2TP18,AS2H018,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST18,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP19,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP19,,,TRUE,TRUE,TRUE,cleo,TEST19,TEST19,cleo,AS2TP19,AS2H019,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST19,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP20,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP20,,,TRUE,TRUE,TRUE,cleo,TEST20,TEST20,cleo,AS2TP20,AS2H020,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST20,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP21,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP21,,,TRUE,TRUE,TRUE,cleo,TEST21,TEST21,cleo,AS2TP21,AS2H021,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST21,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP22,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP22,,,TRUE,TRUE,TRUE,cleo,TEST22,TEST22,cleo,AS2TP22,AS2H022,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST22,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP23,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP23,,,TRUE,TRUE,TRUE,cleo,TEST23,TEST23,cleo,AS2TP23,AS2H023,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST23,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP24,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP24,,,TRUE,TRUE,TRUE,cleo,TEST24,TEST24,cleo,AS2TP24,AS2H024,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST24,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP25,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP25,,,TRUE,TRUE,TRUE,cleo,TEST25,TEST25,cleo,AS2TP25,AS2H025,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST25,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP26,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP26,,,TRUE,TRUE,TRUE,cleo,TEST26,TEST26,cleo,AS2TP26,AS2H026,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST26,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP27,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP27,,,TRUE,TRUE,TRUE,cleo,TEST27,TEST27,cleo,AS2TP27,AS2H027,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST27,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP28,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP28,,,TRUE,TRUE,TRUE,cleo,TEST28,TEST28,cleo,AS2TP28,AS2H028,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST28,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP29,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP29,,,TRUE,TRUE,TRUE,cleo,TEST29,TEST29,cleo,AS2TP29,AS2H029,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST29,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP30,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP30,,,TRUE,TRUE,TRUE,cleo,TEST30,TEST30,cleo,AS2TP30,AS2H030,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST30,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP31,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP31,,,TRUE,TRUE,TRUE,cleo,TEST31,TEST31,cleo,AS2TP31,AS2H031,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST31,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP32,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP32,,,TRUE,TRUE,TRUE,cleo,TEST32,TEST32,cleo,AS2TP32,AS2H032,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST32,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP33,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP33,,,TRUE,TRUE,TRUE,cleo,TEST33,TEST33,cleo,AS2TP33,AS2H033,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST33,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP34,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP34,,,TRUE,TRUE,TRUE,cleo,TEST34,TEST34,cleo,AS2TP34,AS2H034,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST34,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP35,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP35,,,TRUE,TRUE,TRUE,cleo,TEST35,TEST35,cleo,AS2TP35,AS2H035,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST35,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP36,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP36,,,TRUE,TRUE,TRUE,cleo,TEST36,TEST36,cleo,AS2TP36,AS2H036,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST36,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP37,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP37,,,TRUE,TRUE,TRUE,cleo,TEST37,TEST37,cleo,AS2TP37,AS2H037,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST37,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP38,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP38,,,TRUE,TRUE,TRUE,cleo,TEST38,TEST38,cleo,AS2TP38,AS2H038,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST38,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP39,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP39,,,TRUE,TRUE,TRUE,cleo,TEST39,TEST39,cleo,AS2TP39,AS2H039,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST39,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP40,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP40,,,TRUE,TRUE,TRUE,cleo,TEST40,TEST40,cleo,AS2TP40,AS2H040,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST40,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP41,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP41,,,TRUE,TRUE,TRUE,cleo,TEST41,TEST41,cleo,AS2TP41,AS2H041,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST41,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP42,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP42,,,TRUE,TRUE,TRUE,cleo,TEST42,TEST42,cleo,AS2TP42,AS2H042,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST42,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP43,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP43,,,TRUE,TRUE,TRUE,cleo,TEST43,TEST43,cleo,AS2TP43,AS2H043,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST43,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP44,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP44,,,TRUE,TRUE,TRUE,cleo,TEST44,TEST44,cleo,AS2TP44,AS2H044,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST44,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP45,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP45,,,TRUE,TRUE,TRUE,cleo,TEST45,TEST45,cleo,AS2TP45,AS2H045,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST45,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP46,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP46,,,TRUE,TRUE,TRUE,cleo,TEST46,TEST46,cleo,AS2TP46,AS2H046,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST46,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP47,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP47,,,TRUE,TRUE,TRUE,cleo,TEST47,TEST47,cleo,AS2TP47,AS2H047,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST47,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP48,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP48,,,TRUE,TRUE,TRUE,cleo,TEST48,TEST48,cleo,AS2TP48,AS2H048,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST48,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP49,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP49,,,TRUE,TRUE,TRUE,cleo,TEST49,TEST49,cleo,AS2TP49,AS2H049,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST49,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP50,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP50,,,TRUE,TRUE,TRUE,cleo,TEST50,TEST50,cleo,AS2TP50,AS2H050,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST50,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP51,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP51,,,TRUE,TRUE,TRUE,cleo,TEST51,TEST51,cleo,AS2TP51,AS2H051,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST51,cleo,/root/certs/,cleo,6080,cleo
