Protocol,Host_Advanced,Host_DefaultAlias,Host_alias,Host_Address,Host_Port,Host_Inbox,Host_Outbox,Host_Sentbox,Host_Receivedbox,Mailbox_alias,Mailbox_HomeDirectory,Mailbox_Pwdhash,Mailbox_Usesamecerts,Mailbox_Usesigncert,Mailbox_Useencrcert,Mailbox_Overridelistenercerts,Mailbox_localsigncertpassword,Mailbox_localsigncertalias,Mailbox_localencrcertalias,Mailbox_localencrcertpassword,MailboxH_AS2-From,MailboxH_AS2-To,MailboxH_Subject,MailboxH_[Content-Type],Action_alias,Action_Commands,Mailbox_Encryptedrequest,Mailbox_Receiptdesired,Mailbox_Signedrequest,Mailbox_Encryptionmethod,Cert_UserAlias,Cert_CommonName,Cert_Email,Cert_OrgUnit,Cert_Org,Cert_City,Cert_State,Cert_Country,Cert_DigitalSign,Cert_ClientAuth,Cert_PrivateKeyPwd,Cert_ExportLocation,LocalListener_localsigncertpassword,Service_alias,Service_Hostname
AS2,RESTEnabled=false,Local Listener,Local Listener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS2,srv1
AS2,RESTEnabled=false,Generic AS2,AS2H001,proxy1,6080,inbox/,outbox/,sentbox/,receivebox/,AS2H001,,,TRUE,TRUE,TRUE,TRUE,cleo,TEST1,TEST1,cleo,AS2H001,AS2TP01,TETPMessage,Binary,send,PUT * ,TRUE,TRUE,TRUE,4,TEST1,gg,e@gmail.com,TT,CLOE,L,KN,IN,TRUE,TRUE,cleo,/root/certs/,cleo,,
AS2,RESTEnabled=true,Generic AS2,AS2H002,proxy1,6080,inbox/,outbox/,sentbox/,receivebox/,AS2H002,,,TRUE,TRUE,TRUE,TRUE,cleo,TEST2,TEST2,cleo,AS2H002,AS2TP02,TETPMessage,Binary,send,PUT * ,FALSE,FALSE,FALSE,3,TEST2,kk,h@gmail.com,GG,CLEO,M,CN,IN,TRUE,TRUE,cleo,/root/certs/,cleo,,
AS2,RESTEnabled=false,Generic AS2,AS2H003,proxy1,6080,inbox/,outbox/,sentbox/,receivebox/,AS2H003,,,TRUE,TRUE,TRUE,TRUE,cleo,TEST3,TEST3,cleo,AS2H003,AS2TP03,TETPMessage,Binary,send,PUT * ,TRUE,TRUE,TRUE,2,TEST3,mm,y@gmail.com,JJ,CLEO,N,CN,IN,TRUE,TRUE,cleo,/root/certs/,cleo,,
AS2,RESTEnabled=false,Generic AS2,AS2H004,proxy1,6080,inbox/,outbox/,sentbox/,receivebox/,AS2H004,,,TRUE,TRUE,TRUE,TRUE,cleo,TEST4,TEST4,cleo,AS2H004,AS2TP04,TETPMessage,Binary,send,PUT * ,TRUE,TRUE,TRUE,2,TEST4,mm,y@gmail.com,JJ,CLEO,N,CN,IN,TRUE,TRUE,cleo,/root/certs/,cleo,,
AS2,RESTEnabled=false,Generic AS2,AS2H005,proxy1,6080,inbox/,outbox/,sentbox/,receivebox/,AS2H005,,,TRUE,TRUE,TRUE,TRUE,cleo,TEST5,TEST5,cleo,AS2H005,AS2TP05,TETPMessage,Binary,send,PUT * ,TRUE,TRUE,TRUE,2,TEST5,mm,y@gmail.com,JJ,CLEO,N,CN,IN,TRUE,TRUE,cleo,/root/certs/,cleo,,
AS2,RESTEnabled=false,Generic AS2,AS2H006,tpn1,5080,inbox/,outbox/,sentbox/,receivebox/,AS2H006,,,TRUE,TRUE,TRUE,TRUE,cleo,TEST6,TEST6,cleo,AS2H006,AS2TP06,TETPMessage,Binary,send,PUT * ,TRUE,TRUE,TRUE,2,TEST6,mm,y@gmail.com,JJ,CLEO,N,CN,IN,TRUE,TRUE,cleo,/root/certs/,cleo,,
AS2,RESTEnabled=false,Generic AS2,AS2H007,tpn1,5080,inbox/,outbox/,sentbox/,receivebox/,AS2H007,,,TRUE,TRUE,TRUE,TRUE,cleo,TEST7,TEST7,cleo,AS2H007,AS2TP07,TETPMessage,Binary,send,PUT * ,TRUE,TRUE,TRUE,2,TEST7,mm,y@gmail.com,JJ,CLEO,N,CN,IN,TRUE,TRUE,cleo,/root/certs/,cleo,,
AS2,RESTEnabled=false,Generic AS2,AS2H008,tpn1,5080,inbox/,outbox/,sentbox/,receivebox/,AS2H008,,,TRUE,TRUE,TRUE,TRUE,cleo,TEST8,TEST8,cleo,AS2H008,AS2TP08,TETPMessage,Binary,send,PUT * ,TRUE,TRUE,TRUE,2,TEST8,mm,y@gmail.com,JJ,CLEO,N,CN,IN,TRUE,TRUE,cleo,/root/certs/,cleo,,
AS2,RESTEnabled=false,Generic AS2,AS2H009,tpn1,5080,inbox/,outbox/,sentbox/,receivebox/,AS2H009,,,TRUE,TRUE,TRUE,TRUE,cleo,TEST9,TEST9,cleo,AS2H009,AS2H009,TETPMessage,Binary,send,PUT * ,TRUE,TRUE,TRUE,2,TEST9,mm,y@gmail.com,JJ,CLEO,N,CN,IN,TRUE,TRUE,cleo,/root/certs/,cleo,,
